accepted_name	IUCN_category_old	IUCN_category_new	TS_category_old	TS_category_new	IUCN_old	IUCN_new	TS_global_old	TS_global_new
Calyptrocalyx multifidus	NE	NE	NE	NE	0	0	0	0
Calyptrocalyx pachystachys	NE	NE	NE	NE	0	0	0	0
Calyptrocalyx pauciflorus	NE	NE	NE	NE	0	0	0	0
Calyptrocalyx polyphyllus	NE	NE	NE	NE	0	0	0	0
Calyptrocalyx pusillus	NE	NE	NE	NE	0	0	0	0
Calyptrocalyx sessiliflorus	NE	NE	NE	NE	0	0	0	0
Calyptrocalyx spicatus	NE	NE	NE	NE	0	0	0	0
Calyptrocalyx yamutumene	NE	NE	NE	NE	0	0	0	0
Calyptrogyne allenii	NE	NE	NE	NE	0	0	0	0
Calyptrogyne anomala	NE	NE	Threatened	NE	0	0	1	0
Calyptrogyne baudensis	NE	NE	NE	NE	0	0	0	0
Calyptrogyne coloradensis	NE	NE	NE	NE	0	0	0	0
Calyptrogyne condensata	NE	NE	Possibly Threatened	NE	0	0	1	0
Calyptrogyne costatifrons	NE	NE	NE	NE	0	0	0	0
Calyptrogyne deneversii	NE	NE	NE	NE	0	0	0	0
Calyptrogyne fortunensis	NE	NE	NE	NE	0	0	0	0
Calyptrogyne ghiesbreghtiana	NE	NE	NE	NE	0	0	0	0
Calyptrogyne herrerae	NE	NE	NE	NE	0	0	0	0
Calyptrogyne kunorum	NE	NE	NE	NE	0	0	0	0
Calyptrogyne osensis	NE	NE	NE	NE	0	0	0	0
Calyptrogyne panamensis	NE	NE	NE	NE	0	0	0	0
Calyptrogyne pubescens	NE	NE	Possibly Threatened	NE	0	0	1	0
Calyptrogyne sanblasensis	NE	NE	NE	NE	0	0	0	0
Calyptrogyne trichostachys	NE	NE	Possibly Threatened	NE	0	0	1	0
Calyptrogyne tutensis	NE	NE	NE	NE	0	0	0	0
Calyptronoma occidentalis	NE	NE	Possibly Threatened	NE	0	0	1	0
Calyptronoma plumeriana	NE	NE	NE	NE	0	0	0	0
Calyptronoma rivalis	NE	NE	Threatened	Near Threatened	0	0	1	1
Carpentaria acuminata	NE	NE	NE	NE	0	0	0	0
Carpoxylon macrospermum	CR	NE	Threatened	NE	1	0	1	0
Caryota alberti	NE	NE	NE	NE	0	0	0	0
Caryota angustifolia	NE	NE	NE	NE	0	0	0	0
Caryota cumingii	NE	NE	NE	NE	0	0	0	0
Caryota javanica	NE	NE	NE	NE	0	0	0	0
Caryota kiriwongensis	NE	NE	NE	NE	0	0	0	0
Caryota maxima	NE	NE	NE	NE	0	0	0	0
Caryota mitis	NE	NE	NE	NE	0	0	0	0
