"species"	"IUCN_TS_sum"	"IUCN_TS_sum_InclOld"	"Subset"	"Predicted_class_MOST"	"Predicted_PnonLC_MOST"	"Predicted_PLC_MOST"	"Expert"	"subset_plot_iucn_MOST"	"subset_plot_IUCNpreds1_MOST"	"subset_plot_IUCNpreds2_MOST"	"subset_plot_IUCNpreds1_exp_MOST"	"subset_plot_IUCNpreds2_exp_MOST"	"Continent"	"GrowthForm"	"Armed"	"MaxLeafLen_m"	"AvFruitLen_cm_mod"	"AvFruitWid_cm_mod"	"AvFruitVol_cm3"	"FruitDim1_cm"	"FruitDim2_cm"	"Small_bird_food"	"Large_bird_food"	"Bird_food"	"Small_mammal_food"	"Large_mammal_food"	"Mammal_food"	"High_C_trapper"	"Int_C_trapper"	"Low_C_trapper"	"High_or_Int_C_trapper"	"Human_use_all"	"Human_use_food"	"Human_use_materials"	"Human_use_medicine"	"Human_use_cultural"	"Predicted_class_LEAST"	"Predicted_PnonLC_LEAST"	"Predicted_PLC_LEAST"	"subset_plot_iucn_LEAST"	"subset_plot_IUCNpreds1_LEAST"	"subset_plot_IUCNpreds2_LEAST"	"subset_plot_IUCNpreds1_exp_LEAST"	"subset_plot_IUCNpreds2_exp_LEAST"	"FD_G"	"ED"	"FDcat"	"EDcat"	"REC"	"OLD"	"PRED"	"Subset2"	"RLa"	"RLro"	"RLr"	"RLa_MLp_BS"	"RLro_MLpr_BS"	"RLr_MLpr_BS"	"RLa_MLp_WS"	"RLro_MLpr_WS"	"RLr_MLpr_WS"	"RLro_MLpr_EG_BS"	"RLro_MLpr_EG_WS"
"Aiphanes horrida"	"NE"	"NE"	"PREDICTED"	"LC"	"0.328"	"0.672"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	"1"	"NA"	"1.95"	"1.95"	"3.88241947121444"	"1.95"	"1.95"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"YES"	"NO"	"NO"	"YES"	"YES"	"YES"	"YES"	"YES"	"YES"	"LC"	"0.129895097709235"	"0.870104902290765"	"NA"	"LC"	"LC"	"LC"	"LC"	0.220790376900148	"5.918058507788"	"NO"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"
"Aiphanes killipii"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.936"	"0.064"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.741594705173322"	"0.258405294826678"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.221748200322881	"NA"	"NO"	"NA"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Aiphanes leiostachys"	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.886"	"0.114"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.743227430137923"	"0.256772569862077"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.275649864183679	"6.54690194175627"	"YES"	"NO"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Aiphanes lindeniana"	"NE"	"nonLC"	"PREDICTED"	"LC"	"0.05"	"0.95"	"NA"	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	"Americas"	"E"	"1"	"1.92"	"1.5"	"1.5"	"1.76714586764426"	"1.5"	"1.5"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"NO"	"nonLC"	"0.556938147714372"	"0.443061852285628"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.226307561459695	"6.44828052899235"	"NO"	"NO"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"
"Aiphanes linearis"	"NE"	"LC"	"PREDICTED"	"LC"	"0.24"	"0.76"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	"1"	"3.22"	"4.5"	"2.65"	"16.5463758073757"	"4.5"	"2.65"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"YES"	"NO"	"NO"	"NO"	"nonLC"	"0.631222685730652"	"0.368777314269348"	"LC"	"LC"	"nonLC"	"LC"	"nonLC"	0.248995267188829	"6.3756916442658"	"NO"	"NO"	"NO"	"YES"	"YES"	"REPRED_data"	"LC"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"nonLC"	"nonLC"	"LC"	"nonLC"
"Aiphanes macroloba"	"NE"	"NE"	"PREDICTED"	"LC"	"0.392"	"0.608"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	"1"	"2.27"	"1"	"0.7"	"0.256563400043166"	"1"	"0.7"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"NO"	"nonLC"	"0.653323153237693"	"0.346676846762307"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.278084778229149	"6.48958226655441"	"YES"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"
"Aiphanes minima"	"LC"	"LC"	"TRAIN"	"NA"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	"1"	"5.45"	"1.4"	"1.55"	"1.59069308026763"	"1.55"	"1.4"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"YES"	"YES"	"YES"	"NO"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	0.234206974007234	"5.94485611073345"	"NO"	"NO"	"YES"	"NO"	"NO"	"NOPRED_data_rec_TestTrainDypsis"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"
"Aiphanes multiplex"	"NE"	"NE"	"NO_ML"	"NA"	"NA"	"NA"	"nonLC"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"Americas"	"E"	"1"	"NA"	"1.6"	"1.45"	"1.76138628111268"	"1.6"	"1.45"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	0.225734982405276	"6.56296717113741"	"NO"	"NO"	"NO"	"NO"	"NO"	"NOPRED_data_noAss_noOcc"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"
"Aiphanes parvifolia"	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.752"	"0.248"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	"1"	"1.23"	"0.85"	"NA"	"NA"	"0.85"	"NA"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.666726551451111"	"0.333273448548889"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.249739386565373	"6.52573402472962"	"NO"	"NO"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Aiphanes pilaris"	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.804"	"0.196"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	"1"	"NA"	"4.7"	"4.7"	"54.3615956789422"	"4.7"	"4.7"	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"NO"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"nonLC"	"0.744826706990022"	"0.255173293009978"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.228157949603202	"6.56274383187565"	"NO"	"NO"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Aiphanes simplex"	"NE"	"nonLC"	"PREDICTED"	"LC"	"0.13"	"0.87"	"NA"	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	"Americas"	"E"	"1"	"1.25"	"0.9"	"0.9"	"0.38170350741116"	"0.9"	"0.9"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"nonLC"	"0.529336084264407"	"0.470663915735593"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.278060885031491	"6.32197142605955"	"YES"	"NO"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"
"Aiphanes spicata"	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.65"	"0.35"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"A"	"1"	"1.3"	"1"	"0.9"	"0.424115008234622"	"1"	"0.9"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.691442490537429"	"0.308557509462571"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.330995593726149	"6.85393536380339"	"YES"	"NO"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Aiphanes tricuspidata"	"NE"	"NE"	"PREDICTED"	"LC"	"0.092"	"0.908"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	"1"	"1.58"	"0.75"	"0.75"	"0.220893233455532"	"0.75"	"0.75"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"NO"	"nonLC"	"0.519820883157598"	"0.480179116842402"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.243701408409771	"6.52357542674342"	"NO"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"
"Aiphanes truncata"	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.79"	"0.21"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.705855224262701"	"0.294144775737299"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.221748200322881	"NA"	"NO"	"NA"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Aiphanes ulei"	"NE"	"LC"	"PREDICTED"	"LC"	"0.166"	"0.834"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	"1"	"3.25"	"0.7"	"0.7"	"0.179594380030216"	"0.7"	"0.7"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"YES"	"NO"	"NO"	"YES"	"YES"	"YES"	"YES"	"YES"	"YES"	"LC"	"0.197425200571196"	"0.802574799428804"	"LC"	"LC"	"LC"	"LC"	"LC"	0.220869668084582	"6.11950414966774"	"NO"	"NO"	"NO"	"YES"	"YES"	"REPRED_data"	"LC"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"
"Aiphanes verrucosa"	"nonLC"	"nonLC"	"TRAIN"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"E"	"1"	"1.47"	"2.25"	"2.25"	"5.96411730329937"	"2.25"	"2.25"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"YES"	"YES"	"YES"	"NO"	"NO"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.248290294269019	"6.37567120974826"	"NO"	"NO"	"YES"	"NO"	"NO"	"NOPRED_data_rec_TestTrainDypsis"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Aiphanes weberbaueri"	"NE"	"nonLC"	"PREDICTED"	"LC"	"0.084"	"0.916"	"NA"	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	"Americas"	"E"	"1"	"NA"	"0.85"	"0.85"	"0.321555098064305"	"0.85"	"0.85"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"YES"	"NO"	"NO"	"NO"	"LC"	"0.324451161848065"	"0.675548838151935"	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	0.253731780181993	"6.50347210445926"	"NO"	"NO"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"LC"	"LC"	"nonLC"	"LC"	"LC"	"LC"	"LC"
"Allagoptera arenaria"	"LC"	"LC"	"TEST"	"NA"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"Americas"	"A"	"0"	"2.8"	"1.6"	"1.15"	"1.107935009166"	"1.6"	"1.15"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"NO"	"YES"	"YES"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	0.321237014228667	"8.48215431782535"	"YES"	"YES"	"YES"	"NO"	"NO"	"NOPRED_data_rec_TestTrainDypsis"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"
"Allagoptera brevicalyx"	"nonLC"	"nonLC"	"TEST"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"A"	"0"	"1.54"	"1.75"	"1.25"	"1.4317154020266"	"1.75"	"1.25"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.322429418005437	"7.57803884614602"	"YES"	"YES"	"YES"	"NO"	"NO"	"NOPRED_data_rec_TestTrainDypsis"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Allagoptera campestris"	"NE"	"NE"	"PREDICTED"	"LC"	"0.488"	"0.512"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"Americas"	"A"	"0"	"1.31"	"1.35"	"0.6"	"0.254469004940773"	"1.35"	"0.6"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NO"	"NO"	"YES"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"LC"	"0.129344326399193"	"0.870655673600807"	"NA"	"LC"	"LC"	"LC"	"LC"	0.317481588789803	"7.56452843829589"	"YES"	"YES"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"
"Allagoptera caudescens"	"NE"	"NE"	"PREDICTED"	"LC"	"0.152"	"0.848"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"Americas"	"E"	"0"	"4.61"	"4.25"	"3.25"	"23.5046762858424"	"4.25"	"3.25"	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"YES"	"NO"	"NO"	"YES"	"YES"	"NO"	"NO"	"YES"	"NO"	"LC"	"0.307785530837836"	"0.692214469162164"	"NA"	"LC"	"LC"	"LC"	"LC"	0.215854170592133	"12.1936910742395"	"NO"	"YES"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"
"Allagoptera leucocalyx"	"NE"	"NE"	"PREDICTED"	"LC"	"0.21"	"0.79"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"Americas"	"A"	"0"	"2.75"	"2.65"	"1.75"	"4.24933131321494"	"2.65"	"1.75"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"NO"	"YES"	"YES"	"YES"	"YES"	"NO"	"NO"	"LC"	"0.136393496256161"	"0.863606503743839"	"NA"	"LC"	"LC"	"LC"	"LC"	0.32370869128121	"8.55656170414763"	"YES"	"YES"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"
"Allagoptera robusta"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.92"	"0.08"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"Americas"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.740087865165895"	"0.259912134834105"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.221748200322881	"NA"	"NO"	"NA"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Ammandra decasperma"	"NE"	"nonLC"	"PREDICTED"	"LC"	"0.144"	"0.856"	"NA"	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	"Americas"	"A"	"0"	"7.75"	"10"	"10"	"523.598775598299"	"10"	"10"	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"NO"	"YES"	"NO"	"YES"	"YES"	"YES"	"YES"	"YES"	"YES"	"nonLC"	"0.576055445484862"	"0.423944554515138"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.360244280909631	"18.2014619195893"	"YES"	"YES"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"
"Aphandra natalia"	"NE"	"nonLC"	"PREDICTED"	"LC"	"0.276"	"0.724"	"NA"	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	"Americas"	"E"	"0"	"7.6"	"4.75"	"3.2"	"25.4678444451013"	"4.75"	"3.2"	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"YES"	"NO"	"NO"	"YES"	"YES"	"YES"	"YES"	"NO"	"YES"	"LC"	"0.377960212282237"	"0.622039787717763"	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	0.234983569861437	"18.2014619195893"	"NO"	"YES"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"LC"	"LC"	"nonLC"	"LC"	"LC"	"LC"	"LC"
"Archontophoenix alexandrae"	"NE"	"NE"	"PREDICTED"	"LC"	"0.164"	"0.836"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"E"	"0"	"5.05"	"1.1"	"0.85"	"0.416130126906748"	"1.1"	"0.85"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"NO"	"NO"	"NO"	"LC"	"0.187946904305906"	"0.812053095694094"	"NA"	"LC"	"LC"	"LC"	"LC"	0.221951421918763	"4.6246138796262"	"NO"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"
"Archontophoenix cunninghamiana"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.68"	"0.32"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	"0"	"5.05"	"1.25"	"1.1"	"0.791943148092427"	"1.25"	"1.1"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"YES"	"NO"	"NO"	"NO"	"NO"	"nonLC"	"0.686198538165357"	"0.313801461834643"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.22164565402223	"5.36462569691558"	"NO"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Archontophoenix maxima"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.856"	"0.144"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	"0"	"6.7"	"1.25"	"0.9"	"0.530143760293277"	"1.25"	"0.9"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.712745742632623"	"0.287254257367377"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.220843590809874	"5.24013489252375"	"NO"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Archontophoenix myolensis"	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.962"	"0.038"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	"0"	"4.22"	"1.7"	"1.1"	"1.0770426814057"	"1.7"	"1.1"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.741121733719846"	"0.258878266280154"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.217854851921753	"5.3659267971412"	"NO"	"NO"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Archontophoenix purpurea"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.746"	"0.254"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	"0"	"8.1"	"2.3"	"2"	"4.81710873550435"	"2.3"	"2"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"YES"	"NO"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.731674595103287"	"0.268325404896713"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.228760774384364	"4.61864196932822"	"NO"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Archontophoenix tuckeri"	"NE"	"NE"	"PREDICTED"	"LC"	"0.548"	"0.452"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"E"	"0"	"4.6"	"2"	"1.25"	"1.63624617374468"	"2"	"1.25"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.706821316578391"	"0.293178683421609"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.215586223916312	"5.31420950840786"	"NO"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"
"Areca abdulrahmanii"	"nonLC"	"nonLC"	"TRAIN"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"A"	"0"	"NA"	"4"	"1.2"	"3.0159289474462"	"4"	"1.2"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.317600793680211	"5.46691515841283"	"YES"	"NO"	"YES"	"NO"	"NO"	"NOPRED_data_rec_TestTrainDypsis"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Areca ahmadii"	"NE"	"nonLC"	"NO_ML"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"A"	"0"	"1.47"	"4.3"	"2"	"9.00589894029074"	"4.3"	"2"	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"NA"	"NA"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.319829039962239	"5.31542079508917"	"YES"	"NO"	"NO"	"YES"	"NO"	"NOPRED_data_old_noOcc"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"
