LEVEL3_NAM	LEVEL3_COD	LEVEL2_COD	LEVEL1_COD	LEVEL3_SPE_HUF_B	LEVEL3_SPE_HUMa_B	LEVEL3_SPE_HUMe_B	LEVEL3_SPE_HUC_B	LEVEL3_SPE_HUA_B	LEVEL3_SPE_FD2_B	LEVEL3_SPE_ED2_B	LEVEL3_SPE_COM_B	LEVEL3_SPE_HUF_W	LEVEL3_SPE_HUMa_W	LEVEL3_SPE_HUMe_W	LEVEL3_SPE_HUC_W	LEVEL3_SPE_HUA_W	LEVEL3_SPE_FD2_W	LEVEL3_SPE_ED2_W	LEVEL3_SPE_COM_W	LEVEL3_SPE_HUF_R	LEVEL3_SPE_HUMa_R	LEVEL3_SPE_HUMe_R	LEVEL3_SPE_HUC_R	LEVEL3_SPE_HUA_R	LEVEL3_SPE_FD2_R	LEVEL3_SPE_ED2_R	LEVEL3_SPE_COM_R	LEVEL3_SPE_HUF_B2	LEVEL3_SPE_HUMa_B2	LEVEL3_SPE_HUMe_B2	LEVEL3_SPE_HUC_B2	LEVEL3_SPE_HUA_B2	LEVEL3_SPE_FD2_B2	LEVEL3_SPE_ED2_B2	LEVEL3_SPE_COM_B2	LEVEL3_SPE_HUF_W2	LEVEL3_SPE_HUMa_W2	LEVEL3_SPE_HUMe_W2	LEVEL3_SPE_HUC_W2	LEVEL3_SPE_HUA_W2	LEVEL3_SPE_FD2_W2	LEVEL3_SPE_ED2_W2	LEVEL3_SPE_COM_W2	LEVEL3_SPE_HUF_R2	LEVEL3_SPE_HUMa_R2	LEVEL3_SPE_HUMe_R2	LEVEL3_SPE_HUC_R2	LEVEL3_SPE_HUA_R2	LEVEL3_SPE_FD2_R2	LEVEL3_SPE_ED2_R2	LEVEL3_SPE_COM_R2	LEVEL3_SPE_GAP_RL	LEVEL3_SPE_GAP_RLML	LEVEL3_SPE_speNum	LEVEL3_SPE_speNumCat	Continent
Benin	BEN	22	2	0	6.25	0	0	5.882352941	6.666666667	5.555555556	5.555555556	0	6.25	0	0	5.882352941	6.666666667	5.555555556	5.555555556	0	6.25	0	0	5.882352941	6.666666667	5.555555556	5.555555556	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	7	1	18	11-50	AfricaWAsia
Burkina	BKN	22	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	1	0	8	1-10	AfricaWAsia
Botswana	BOT	27	2	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0_20	0_20	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	0_20	0_20	0_20	NOC	0_20	0_20	0	0	2	1-10	AfricaWAsia
Burundi	BUR	23	2	0	0	0	0	0	33.33333333	20	20	0	0	0	0	0	33.33333333	20	20	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	20_40	20_40	20_40	0_20	0_20	0_20	0_20	0_20	20_40	20_40	20_40	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	1	0	5	1-10	AfricaWAsia
Cabinda	CAB	23	2	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	7	3	14	11-50	AfricaWAsia
Central African Republic	CAF	23	2	0	0	0	0	0	0	0	0	7.142857143	13.63636364	10	0	12.5	9.090909091	12	12	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	8	0	25	11-50	AfricaWAsia
Chagos Archipelago	CGS	29	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	1	0	1	1-10	AfricaWAsia
Chad	CHA	24	2	0	0	0	0	0	0	0	0	0	20	20	0	20	25	20	20	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	20_40	20_40	0_20	20_40	20_40	20_40	20_40	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	2	0	5	1-10	AfricaWAsia
Cameroon	CMN	23	2	0	3.571428571	0	9.090909091	3.448275862	3.125	5.263157895	5.263157895	0	7.142857143	4.761904762	9.090909091	6.896551724	6.25	7.894736842	7.894736842	0	0	0	0	0	3.125	2.631578947	2.631578947	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	13	2	38	11-50	AfricaWAsia
Canary Is.	CNY	21	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	2	0	3	1-10	AfricaWAsia
