"Species"	"s1_HUF_BS"	"s1_HUF_BS_pd"	"s1_HUF_BS_fd"	"s1_HUMa_BS"	"s1_HUMa_BS_pd"	"s1_HUMa_BS_fd"	"s1_HUMe_BS"	"s1_HUMe_BS_pd"	"s1_HUMe_BS_fd"	"s1_HUC_BS"	"s1_HUC_BS_pd"	"s1_HUC_BS_fd"	"s1_HUF_WS"	"s1_HUF_WS_pd"	"s1_HUF_WS_fd"	"s1_HUMa_WS"	"s1_HUMa_WS_pd"	"s1_HUMa_WS_fd"	"s1_HUMe_WS"	"s1_HUMe_WS_pd"	"s1_HUMe_WS_fd"	"s1_HUC_WS"	"s1_HUC_WS_pd"	"s1_HUC_WS_fd"
"Attalea plowmanii"	1	0	0	1	0	0	0.583893819396554	0.0962781944557272	0.0315183094468405	1	0	0	1	0	0	1	0	0	0.583893819396554	0.0962781944557272	0.0315183094468405	1	0	0
"Attalea princeps"	1	0	0	1	0	0	1	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea racemosa"	1	0	0	1	0	0	0.784050925734874	0.103397135686252	0.0135072712487404	0.784050925734874	0.103397135686252	0.0135072712487404	1	0	0	1	0	0	0.784050925734874	0.103397135686252	0.0135072712487404	0.784050925734874	0.103397135686252	0.0135072712487404
"Attalea rostrata"	0.908029433290422	0.0960735374222253	0.0029769615703647	0.908135381707519	0.0960735374222253	0.0029676288495574	0.898023777542796	0.0960735374222253	0.00385833379040654	0.898023777542796	0.0960735374222253	0.00385833379040654	0.908029433290422	0.0960735374222253	0.0029769615703647	0.908135381707519	0.0960735374222253	0.0029676288495574	0.898023777542796	0.0960735374222253	0.00385833379040654	0.898023777542796	0.0960735374222253	0.00385833379040654
"Attalea salazarii"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea salvadorensis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea seabrensis"	0.731508881911568	0.0706628028876424	0.0198815868777433	0.731508881911568	0.0706628028876424	0.0198815868777433	0.731508881911568	0.0706628028876424	0.0198815868777433	0.71297765913008	0.101266316352302	0.0198815868777433	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea septuagenata"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea speciosa"	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0
"Attalea spectabilis"	1	0	0	0.86997611755886	0.100064474174001	0.0061161058717627	1	0	0	0.86997611755886	0.100064474174001	0.0061161058717627	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea tessmannii"	1	0	0	1	0	0	0.709015788134527	0.100261049708828	0.0202841979306598	1	0	0	1	0	0	1	0	0	0.709015788134527	0.100261049708828	0.0202841979306598	1	0	0
"Attalea vitrivir"	1	0	0	1	0	0	1	0	0	0.758086609277481	0.0999718265006039	0.015977103720338	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea weberbaueri"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea wesselsboeri"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Bactris acanthocarpa"	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0
"Bactris acanthocarpoides"	0.92375756751583	0.114999941057933	0.000581991645980134	0.913091349302393	0.114999941057933	0.00152155109748921	0.913091349302393	0.114999941057933	0.00152155109748921	0.913091349302393	0.114999941057933	0.00152155109748921	0.92375756751583	0.114999941057933	0.000581991645980134	0.913091349302393	0.114999941057933	0.00152155109748921	0.913091349302393	0.114999941057933	0.00152155109748921	0.913091349302393	0.114999941057933	0.00152155109748921
"Bactris ana-juliae"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
